	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000082258	17.67952	20.301449	11.196643	11.642195	10.4383271	18.0989020314832	16.68484242	12.861804	12.444635
ENSG00000082269	4.280208	3.8586810309285	3.915063	5.1866195	4.95616800501938	2.5433750164757	5.86246236212517	7.486440565906	2.69539966165
ENSG00000082293	0	0	0	0	0	0.215774	0	0	0
ENSG00000082397	13.634366	13.823645	12.9229168	16.579353	15.600551	12.407682	11.7223532	12.86117629	12.49002
ENSG00000082438	9.537577	6.9271787	7.635336	10.6170112	12.450198	9.303986	8.721059	8.357432717308	8.923064
ENSG00000082458	8.60011166148446	10.319924	9.647836	9.209131	6.747049	7.69296107	11.91311	7.033295	11.708041
ENSG00000082482	0	0	0.2803995	0.146736	0.0752391	0.2355054	0	0.293552	0.8266892
ENSG00000082497	4.602448	4.028967	5.121324	4.88543	4.36515	5.02813	4.11322	4.892896	4.13835
ENSG00000082512	9.207945	10.037075	7.288176	6.657266553245	7.80822	6.9610815	6.982891	8.013482	8.505723
ENSG00000082515	48.394304	48.284435	51.788267	45.319678	53.418102	53.17718	50.875561	55.471661	37.710782
ENSG00000082516	8.18847	10.706	9.39204	8.44506	10.0395	9.20291	10.5165	9.33443	9.04688
ENSG00000082556	0	0.058132	0	0	0	0	0	0	0
ENSG00000082641	264.846620152328	242.13593	234.221095877	249.29845344314	260.89312395	257.93288	251.86441353722	270.468045001449	236.18712849
ENSG00000082684	0	0	0.0923847	0	0	0.0766227	0	0	0
ENSG00000082701	36.753097	33.1585909	33.5657291	30.43817	35.862262	29.80203	39.324479	40.179923	38.80546458231
ENSG00000082781	171.967101	170.975544	216.16496	179.70008	166.777613	206.234978	176.29875	203.19182	194.221808
ENSG00000082805	14.390769	16.990757	17.130455	14.747331	16.742246	16.417867	16.6270936	14.809588	14.425972
ENSG00000082898	73.7143766287	72.618005504864	66.0232297029265	69.22917485	64.0342085	59.9555166	57.3661949750489	63.308211002931	62.49523494821
ENSG00000082996	19.926865	19.844648	22.01986	17.489654	21.322683	17.363178	16.30897	18.782854	16.8113316
